ParName   Value   Gradient
log_rec_dev(1932)    -0.814036 -1.36628e-007
log_rec_dev(1933)    -0.824169 -1.51563e-007
log_rec_dev(1934)    -0.835399 -1.68035e-007
log_rec_dev(1935)    -0.847705 -1.8606e-007
log_rec_dev(1936)    -0.860303 -2.0445e-007
log_rec_dev(1937)    -0.874318 -2.24763e-007
log_rec_dev(1938)    -0.890118 -2.47397e-007
log_rec_dev(1939)    -0.907374 -2.7213e-007
log_rec_dev(1940)    -0.925299 -2.98248e-007
log_rec_dev(1941)    -0.944283 -3.25854e-007
log_rec_dev(1942)    -0.964427 -3.54536e-007
log_rec_dev(1943)    -0.984843 -3.82857e-007
log_rec_dev(1944)     -1.00514 -4.09129e-007
log_rec_dev(1945)     -1.02439 -4.29813e-007
log_rec_dev(1946)     -1.04081 -4.38898e-007
log_rec_dev(1947)     -1.05151 -4.26673e-007
log_rec_dev(1948)      -1.0526 -3.79259e-007
log_rec_dev(1949)     -1.03879 -2.79217e-007
log_rec_dev(1950)     -1.00363 -1.10351e-007
log_rec_dev(1951)    -0.942497 1.31892e-007
log_rec_dev(1952)    -0.855962 4.30034e-007
log_rec_dev(1953)    -0.757268 7.40933e-007
log_rec_dev(1954)    -0.660911  1.0156e-006
log_rec_dev(1955)    -0.582608 1.22656e-006
log_rec_dev(1956)    -0.526631 1.38167e-006
log_rec_dev(1957)       1.9056 1.42906e-005
log_rec_dev(1958)    -0.426318 1.63723e-006
log_rec_dev(1959)    -0.375512 1.72645e-006
log_rec_dev(1960)    -0.352722 1.71064e-006
log_rec_dev(1961)    -0.387114  1.5339e-006
log_rec_dev(1962)    -0.496973 1.23176e-006
log_rec_dev(1963)    -0.621994 9.62317e-007
log_rec_dev(1964)    -0.721306 7.95651e-007
log_rec_dev(1965)    -0.765111 7.50409e-007
log_rec_dev(1966)    -0.757527 7.91316e-007
log_rec_dev(1967)    -0.704918 8.47461e-007
log_rec_dev(1968)    -0.641661 7.82975e-007
log_rec_dev(1969)    -0.564919 4.90752e-007
log_rec_dev(1970)    -0.455452 -1.23071e-007
log_rec_dev(1971)    -0.403912 -1.13564e-006
log_rec_dev(1972)    -0.536562 -2.23446e-006
log_rec_dev(1973)    -0.739208 -3.22958e-006
log_rec_dev(1974)    -0.820378 -4.61848e-006
log_rec_dev(1975)     -0.78024 -6.79002e-006
log_rec_dev(1976)    -0.925287 -7.4465e-006
log_rec_dev(1977)     -1.12599 -4.96837e-006
log_rec_dev(1978)     -1.02161 -1.69863e-006
log_rec_dev(1979)     0.750763 3.40587e-006
log_rec_dev(1980)     0.377667 6.18234e-006
log_rec_dev(1981)    -0.648415 3.59143e-007
log_rec_dev(1982)     0.433124 -4.63443e-006
log_rec_dev(1983)     0.180369 6.52616e-007
log_rec_dev(1984)   -0.0650423 5.61271e-006
log_rec_dev(1985)     -1.62261 1.62269e-006
log_rec_dev(1986)    -0.468578 9.49884e-006
log_rec_dev(1987)    -0.883865 8.85961e-006
log_rec_dev(1988)     -2.06722 1.92854e-006
log_rec_dev(1989)     -1.79864 2.07149e-006
log_rec_dev(1990)      -1.1109 5.16536e-006
log_rec_dev(1991)    -0.399454 1.80773e-005
log_rec_dev(1992)     -1.82638 2.14187e-006
log_rec_dev(1993)     -0.34251 -3.90303e-006
log_rec_dev(1994)     -1.79752 2.37168e-008
log_rec_dev(1995)     -1.58607  7.7807e-006
log_rec_dev(1996)     -1.14033 1.36968e-005
log_rec_dev(1997)    -0.521187 -5.77256e-006
log_rec_dev(1998)     -1.42265 -6.38088e-006
log_rec_dev(1999)    0.0334294 -1.19872e-005
log_rec_dev(2000)    -0.816421 -9.39299e-007
log_rec_dev(2001)    -0.816025 -9.59083e-007
log_rec_dev(2002)     0.201787 -1.49616e-005
log_rec_dev(2003)     -1.02689 -6.33367e-006
log_rec_dev(2004)     -1.28637 -2.17895e-006
log_rec_dev(2005)     -1.09144 8.43315e-007
log_rec_dev(2006)     -1.57272 -7.62231e-007
log_rec_dev(2007)     -1.24311 -6.95027e-007
log_rec_dev(2008)     -1.28992 3.29247e-006
log_rec_dev(2009)    -0.837895  2.2748e-006
log_rec_dev(2010)     -0.44394 -7.87518e-006
log_rec_dev(2011)     -1.35724 -6.45546e-006
log_rec_dev(2012)     -1.02949 -8.19053e-006
log_rec_dev(2013)     -2.16735 2.37955e-006
log_rec_dev(2014)     -1.52897 9.22052e-006
log_rec_dev(2015)    -0.830498  2.4363e-005
log_rec_dev(2016)     0.371161 -4.31379e-006
log_rec_dev(2017)    -0.403675 -1.29054e-005
log_rec_dev(2018)      1.00866 -2.18788e-006
log_rec_dev(2019)     0.844323 9.20041e-006
log_rec_dev(2020)     0.279302 -2.20601e-006
log_rec_dev(2021)     0.997177 -1.26838e-005
log_mean_rec      2.78867 7.17435e-005
mF50    0.0585263 6.14333e-006
mF40      0.08109 -5.75378e-006
mF35    0.0955552 1.12458e-005
logm     -2.25412 -2.16454e-005
log_avg_F_fish1     -2.97315 5.13505e-006
log_F_devs_fish1(1960)     -1.90323 -1.58432e-006
log_F_devs_fish1(1961)    -0.354889 1.44219e-006
log_F_devs_fish1(1962)    0.0741528 2.77186e-006
log_F_devs_fish1(1963)    -0.883011 1.05904e-006
log_F_devs_fish1(1964)     -2.08772 3.70622e-007
log_F_devs_fish1(1965)     -3.40925 -4.59409e-006
log_F_devs_fish1(1966)     -1.97303 -1.28308e-006
log_F_devs_fish1(1967)     -1.92394 -9.52594e-007
log_F_devs_fish1(1968)    -0.824279 -3.14682e-006
log_F_devs_fish1(1969)    -0.436157 -6.4524e-008
log_F_devs_fish1(1970)    0.0359542 5.66587e-008
log_F_devs_fish1(1971)     0.142066 1.63539e-006
log_F_devs_fish1(1972)     0.476051 1.31355e-007
log_F_devs_fish1(1973)     0.387717 -1.13159e-006
log_F_devs_fish1(1974)     0.583829 -2.55785e-007
log_F_devs_fish1(1975)     0.588439 -5.85618e-008
log_F_devs_fish1(1976)     0.769625 -6.3026e-007
log_F_devs_fish1(1977)     0.552106 8.89322e-008
log_F_devs_fish1(1978)    -0.139958 1.06322e-006
log_F_devs_fish1(1979)     -0.04031 7.44773e-007
log_F_devs_fish1(1980)    -0.292599 1.13102e-006
log_F_devs_fish1(1981)   -0.0681944 1.30837e-006
log_F_devs_fish1(1982)    -0.214367 2.33734e-006
log_F_devs_fish1(1983)    -0.299102 2.24596e-006
log_F_devs_fish1(1984)    -0.377085 1.63499e-006
log_F_devs_fish1(1985)    -0.213916 1.34831e-007
log_F_devs_fish1(1986)     0.252528 1.24314e-006
log_F_devs_fish1(1987)      0.49481 -1.57098e-006
log_F_devs_fish1(1988)     0.587774 -2.29463e-006
log_F_devs_fish1(1989)     0.593072 -6.93311e-007
log_F_devs_fish1(1990)     0.572091 -1.38217e-006
log_F_devs_fish1(1991)     0.507691 -1.21199e-006
log_F_devs_fish1(1992)     0.439335 -6.49122e-007
log_F_devs_fish1(1993)     0.570269 9.45216e-007
log_F_devs_fish1(1994)     0.545146 1.70064e-006
log_F_devs_fish1(1995)     0.362376 -1.09766e-007
log_F_devs_fish1(1996)     0.251755 1.79996e-006
